morpheme_es,morpheme_en,concept,compositional_concept,pos,semantic_gender,syntactic_gender_es,type,tense,aspect,number,inactive,is_cognate,is_false_friend,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
.,.,,,.,,,,,,,,,,,,,
la,the,,,det,,F,def,,,,,,,,,,
el,the,,,det,,M,def,,,,,,,,,,
una,a,,,det,,F,indef,,,,,,,,,,
un,a,,,det,,M,indef,,,,,,,,,,
él,he,,,pron,M,M,subject,,,,,,,,,,
ella,she,,,pron,F,F,subject,,,,,,,,,,
lo,him,,,pron,M,M,object,,,,,,,,,,
la,her,,,pron,F,F,object,,,,,,,,,,
él,him,,,pron,M,M,prep-object,,,,,,,,,,
ella,her,,,pron,F,F,prep-object,,,,,,,,,,
hombre,man,MAN,HUMAN,noun,M,M,,,,,,,,,,,
niño,boy,BOY,CHILD,noun,M,M,,,,,,,,,,,
padre,father,FATHER,PARENT,noun,M,M,,,,,,,,,,,
hermano,brother,BROTHER,SIBLING,noun,M,M,,,,,,,,,,,
abuelo,grandfather,GRANDFATHER,GRANDPARENT,noun,M,M,,,,,,,,,,,
tío,uncle,UNCLE,UNCLES,noun,M,M,,,,,,,,,,,
anfitrión,host,HOST,HOST,noun,M,M,,,,,,,,,,,
camarero,waiter,WAITER,WAITER,noun,M,M,,,,,,,,,,,
señor,gentleman,GENTLEMAN,GENTLEMAN,noun,M,M,,,,,,,,,,,
perro,dog,DOG,DOG,noun,M,M,,,,,,,,,,,
mujer,woman,WOMAN,HUMAN,noun,F,F,,,,,,,,,,,
niña,girl,GIRL,CHILD,noun,F,F,,,,,,,,,,,
madre,mother,MOTHER,PARENT,noun,F,F,,,,,,,,,,,
hermana,sister,SISTER,SIBLING,noun,F,F,,,,,,,,,,,
abuela,grandmother,GRANDMOTHER,GRANDPARENT,noun,F,F,,,,,,,,,,,
tía,aunt,AUNT,UNCLES,noun,F,F,,,,,,,,,,,
anfitriona,hostess,HOSTESS,HOST,noun,F,F,,,,,,,,,,,
señora,lady,LADY,LADY,noun,F,F,,,,,,,,,,,
camarera,waitress,WAITRESS,WAITER,noun,F,F,,,,,,,,,,,
gata,cat,CAT,CAT,noun,F,F,,,,,,,,,,,
hombre,man,MAN,HUMAN,noun,M,M,goal,,,,,,,,,,
niño,boy,BOY,CHILD,noun,M,M,goal,,,,,,,,,,
padre,father,FATHER,PARENT,noun,M,M,goal,,,,,,,,,,
hermano,brother,BROTHER,SIBLING,noun,M,M,goal,,,,,,,,,,
abuelo,grandfather,GRANDFATHER,GRANDPARENT,noun,M,M,goal,,,,,,,,,,
tío,uncle,UNCLE,UNCLES,noun,M,M,goal,,,,,,,,,,
anfitrión,host,HOST,HOST,noun,M,M,goal,,,,,,,,,,
camarero,waiter,WAITER,WAITER,noun,M,M,goal,,,,,,,,,,
señor,gentleman,GENTLEMAN,GENTLEMAN,noun,M,M,goal,,,,,,,,,,
perro,dog,DOG,DOG,noun,M,M,goal,,,,,,,,,,
mujer,woman,WOMAN,HUMAN,noun,F,F,goal,,,,,,,,,,
niña,girl,GIRL,CHILD,noun,F,F,goal,,,,,,,,,,
madre,mother,MOTHER,PARENT,noun,F,F,goal,,,,,,,,,,
hermana,sister,SISTER,SIBLING,noun,F,F,goal,,,,,,,,,,
abuela,grandmother,GRANDMOTHER,GRANDPARENT,noun,F,F,goal,,,,,,,,,,
tía,aunt,AUNT,UNCLES,noun,F,F,goal,,,,,,,,,,
anfitriona,hostess,HOSTESS,HOST,noun,F,F,goal,,,,,,,,,,
señora,lady,LADY,LADY,noun,F,F,goal,,,,,,,,,,
camarera,waitress,WAITRESS,WAITER,noun,F,F,goal,,,,,,,,,,
gata,cat,CAT,CAT,noun,F,F,goal,,,,,,,,,,
pueblo,village,VILLAGE,PLACE,noun,,M,goal,,,,,,,,,,
oficina,office,OFFICE,PLACE,noun,,F,goal,,,,,,,,,,
escuela,school,SCHOOL,PLACE,noun,,F,goal,,,,,,,,,,
granja,farm,FARM,PLACE,noun,,F,goal,,,,,,,,,,
botella,bottle,BOTTLE,CONTAINER,noun,,F,goal,,,,,,,,,,
taza,cup,CUP,CONTAINER,noun,,F,goal,,,,,,,,,,
lavabo,sink,SINK,CONTAINER,noun,,M,goal,,,,,,,,,,
bañera,bath,BATH,CONTAINER,noun,,F,goal,,,,,,,,,,
coche,car,CAR,VEHICLE,noun,,M,goal,,,,,,,,,,
bicicleta,bicycle,BICYCLE,VEHICLE,noun,,F,goal,,,,,,,,,,
tren,train,TRAIN,VEHICLE,noun,,M,goal,,,,,,,,,,
motocicleta,motorcycle,MOTORCYCLE,VEHICLE,noun,,F,goal,,,,,,,,,,
flor,flower,FLOWER,PLANT,noun,,F,thing,,,,,,,,,,
árbol,tree,TREE,PLANT,noun,,M,thing,,,,,,,,,,
planta,plant,PLANT,PLANT,noun,,F,thing,,,,,,,,,,
cacto,cactus,CACTUS,PLANT,noun,,M,thing,,,,,,,,,,
botella,bottle,BOTTLE,CONTAINER,noun,,F,thing,,,,,,,,,,
taza,cup,CUP,CONTAINER,noun,,F,thing,,,,,,,,,,
lavabo,sink,SINK,CONTAINER,noun,,M,thing,,,,,,,,,,
bañera,bath,BATH,CONTAINER,noun,,F,thing,,,,,,,,,,
naranja,orange,ORANGE,FOOD,noun,,F,thing,,,,,,,,,,
manzana,apple,APPLE,FOOD,noun,,F,thing,,,,,,,,,,
pastel,cake,CAKE,FOOD,noun,,M,thing,,,,,,,,,,
pan,bread,BREAD,FOOD,noun,,M,thing,,,,,,,,,,
café,coffee,COFFEE,DRINK,noun,,M,thing,,,,,,,,,,
cerveca,beer,BEER,DRINK,noun,,F,thing,,,,,,,,,,
leche,milk,MILK,DRINK,noun,,F,thing,,,,,,,,,,
agua,water,WATER,DRINK,noun,,M,thing,,,,,,,,,,
naranja,orange,ORANGE,FOOD,noun,,F,thing,,,,,,,,,,
botella,bottle,BOTTLE,CONTAINER,noun,,F,container,,,,,,,,,,
taza,cup,CUP,CONTAINER,noun,,F,container,,,,,,,,,,
lavabo,sink,SINK,CONTAINER,noun,,M,container,,,,,,,,,,
bañera,bath,BATH,CONTAINER,noun,,F,container,,,,,,,,,,
grande,big,BIG,BIG,adj,M-F,M-F,,,,,,,,,,,
viejo,old,OLD,OLD,adj,M,M,,,,,,,,,,,
nuevo,new,NEW,NEW,adj,M,M,,,,,,,,,,,
bueno,good,GOOD,GOOD,adj,M,M,,,,,,,,,,,
malo,bad,BAD,BAD,adj,M,M,,,,,,,,,,,
pequeño,small,SMALL,SMALL,adj,M,M,,,,,,,,,,,
vieja,old,OLD,OLD,adj,F,F,,,,,,,,,,,
nueva,new,NEW,NEW,adj,F,F,,,,,,,,,,,
buena,good,GOOD,GOOD,adj,F,F,,,,,,,,,,,
mala,bad,BAD,BAD,adj,F,F,,,,,,,,,,,
pequeña,small,SMALL,SMALL,adj,F,F,,,,,,,,,,,
hombre,man,MAN,HUMAN,noun,M,M,mover,,,,,,,,,,
niño,boy,BOY,CHILD,noun,M,M,mover,,,,,,,,,,
padre,father,FATHER,PARENT,noun,M,M,mover,,,,,,,,,,
hermano,brother,BROTHER,SIBLING,noun,M,M,mover,,,,,,,,,,
abuelo,grandfather,GRANDFATHER,GRANDPARENT,noun,M,M,mover,,,,,,,,,,
tío,uncle,UNCLE,UNCLES,noun,M,M,mover,,,,,,,,,,
anfitrión,host,HOST,HOST,noun,M,M,mover,,,,,,,,,,
camarero,waiter,WAITER,WAITER,noun,M,M,mover,,,,,,,,,,
señor,gentleman,GENTLEMAN,GENTLEMAN,noun,M,M,mover,,,,,,,,,,
perro,dog,DOG,DOG,noun,M,M,mover,,,,,,,,,,
mujer,woman,WOMAN,HUMAN,noun,F,F,mover,,,,,,,,,,
niña,girl,GIRL,CHILD,noun,F,F,mover,,,,,,,,,,
madre,mother,MOTHER,PARENT,noun,F,F,mover,,,,,,,,,,
hermana,sister,SISTER,SIBLING,noun,F,F,mover,,,,,,,,,,
abuela,grandmother,GRANDMOTHER,GRANDPARENT,noun,F,F,mover,,,,,,,,,,
tía,aunt,AUNT,UNCLES,noun,F,F,mover,,,,,,,,,,
anfitriona,hostess,HOSTESS,HOST,noun,F,F,mover,,,,,,,,,,
señora,lady,LADY,LADY,noun,F,F,mover,,,,,,,,,,
camarera,waitress,WAITRESS,WAITER,noun,F,F,mover,,,,,,,,,,
gata,cat,CAT,CAT,noun,F,F,mover,,,,,,,,,,
coche,car,CAR,VEHICLE,noun,,M,mover,,,,,,,,,,
bicicleta,bicycle,BICYCLE,VEHICLE,noun,,F,mover,,,,,,,,,,
tren,train,TRAIN,VEHICLE,noun,,M,mover,,,,,,,,,,
