morpheme_nl,morpheme_en,concept,compositional_concept,pos,semantic_gender,syntactic_gender_nl,type,tense,aspect,number,inactive,is_cognate,is_false_friend,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
.,.,,,.,,,,,,,,,,,,,
de,the,,,det,,F,def,,,,,,,,,,
het,the,,,det,,M,def,,,,,,,,,,
een,a,,,det,,M-F,indef,,,,,,,,,,
hij,he,,,pron,,M,subject,,,,,,,,,,
zij,she,,,pron,,F,subject,,,,,,,,,,
hem,him,,,pron,,M,object,,,,,,,,,,
haar,her,,,pron,,F,object,,,,,,,,,,
hem,him,,,pron,,M,prep-object,,,,,,,,,,
haar,her,,,pron,,F,prep-object,,,,,,,,,,
man_,man,MAN,HUMAN,noun,M,F,,,,,,,,,,,
jongen,boy,BOY,CHILD,noun,M,F,,,,,,,,,,,
vader,father,FATHER,PARENT,noun,M,F,,,,,,,,,,,
broer,brother,BROTHER,SIBLING,noun,M,F,,,,,,,,,,,
opa,grandfather,GRANDFATHER,GRANDPARENT,noun,M,F,,,,,,,,,,,
oom,uncle,UNCLE,UNCLES,noun,M,F,,,,,,,,,,,
gastheer,host,HOST,HOST,noun,M,F,,,,,,,,,,,
kelner,waiter,WAITER,WAITER,noun,M,F,,,,,,,,,,,
heer,gentleman,GENTLEMAN,GENTLEMAN,noun,M,F,,,,,,,,,,,
hond,dog,DOG,DOG,noun,M,F,,,,,,,,,,,
vrouw,woman,WOMAN,HUMAN,noun,F,F,,,,,,,,,,,
meisje,girl,GIRL,CHILD,noun,F,M,,,,,,,,,,,
moeder,mother,MOTHER,PARENT,noun,F,F,,,,,,,,,,,
zus,sister,SISTER,SIBLING,noun,F,F,,,,,,,,,,,
oma,grandmother,GRANDMOTHER,GRANDPARENT,noun,F,F,,,,,,,,,,,
tante,aunt,AUNT,UNCLES,noun,F,F,,,,,,,,,,,
gastvrouw,hostess,HOSTESS,HOST,noun,F,F,,,,,,,,,,,
dame,lady,LADY,LADY,noun,F,F,,,,,,,,,,,
kelnerin,waitress,WAITRESS,WAITER,noun,F,F,,,,,,,,,,,
kat,cat,CAT,CAT,noun,F,F,,,,,,,,,,,
man_,man,MAN,HUMAN,noun,M,F,goal,,,,,,,,,,
jongen,boy,BOY,CHILD,noun,M,F,goal,,,,,,,,,,
vader,father,FATHER,PARENT,noun,M,F,goal,,,,,,,,,,
broer,brother,BROTHER,SIBLING,noun,M,F,goal,,,,,,,,,,
opa,grandfather,GRANDFATHER,GRANDPARENT,noun,M,F,goal,,,,,,,,,,
oom,uncle,UNCLE,UNCLES,noun,M,F,goal,,,,,,,,,,
gastheer,host,HOST,HOST,noun,M,F,goal,,,,,,,,,,
kelner,waiter,WAITER,WAITER,noun,M,F,goal,,,,,,,,,,
heer,gentleman,GENTLEMAN,GENTLEMAN,noun,M,F,goal,,,,,,,,,,
hond,dog,DOG,DOG,noun,M,F,goal,,,,,,,,,,
vrouw,woman,WOMAN,HUMAN,noun,F,F,goal,,,,,,,,,,
meisje,girl,GIRL,CHILD,noun,F,M,goal,,,,,,,,,,
moeder,mother,MOTHER,PARENT,noun,F,F,goal,,,,,,,,,,
zus,sister,SISTER,SIBLING,noun,F,F,goal,,,,,,,,,,
oma,grandmother,GRANDMOTHER,GRANDPARENT,noun,F,F,goal,,,,,,,,,,
tante,aunt,AUNT,UNCLES,noun,F,F,goal,,,,,,,,,,
gastvrouw,hostess,HOSTESS,HOST,noun,F,F,goal,,,,,,,,,,
dame,lady,LADY,LADY,noun,F,F,goal,,,,,,,,,,
kelnerin,waitress,WAITRESS,WAITER,noun,F,F,goal,,,,,,,,,,
kat,cat,CAT,CAT,noun,F,F,goal,,,,,,,,,,
dorp,village,VILLAGE,PLACE,noun,,M,goal,,,,,,,,,,
kantoor,office,OFFICE,PLACE,noun,,M,goal,,,,,,,,,,
school_,school,SCHOOL,PLACE,noun,,F,goal,,,,,,,,,,
boerderij,farm,FARM,PLACE,noun,,F,goal,,,,,,,,,,
fles,bottle,BOTTLE,CONTAINER,noun,,F,goal,,,,,,,,,,
kopje,cup,CUP,CONTAINER,noun,,M,goal,,,,,,,,,,
wastafel,sink,SINK,CONTAINER,noun,,F,goal,,,,,,,,,,
emmer,bucket,BUCKET,CONTAINER,noun,,F,goal,,,,,,,,,,
auto,car,CAR,VEHICLE,noun,,F,goal,,,,,,,,,,
fiets,bicycle,BICYCLE,VEHICLE,noun,,F,goal,,,,,,,,,,
trein,train,TRAIN,VEHICLE,noun,,F,goal,,,,,,,,,,
motor,motorcycle,MOTORCYCLE,VEHICLE,noun,,F,goal,,,,,,,,,,
bloem,flower,FLOWER,PLANT,noun,,F,thing,,,,,,,,,,
boom,tree,TREE,PLANT,noun,,F,thing,,,,,,,,,,
plant_,plant,PLANT,PLANT,noun,,F,thing,,,,,,,,,,
cactus_,cactus,CACTUS,PLANT,noun,,F,thing,,,,,,,,,,
fles,bottle,BOTTLE,CONTAINER,noun,,F,thing,,,,,,,,,,
kopje,cup,CUP,CONTAINER,noun,,M,thing,,,,,,,,,,
wastafel,sink,SINK,CONTAINER,noun,,F,thing,,,,,,,,,,
emmer,bucket,BUCKET,CONTAINER,noun,,F,thing,,,,,,,,,,
sinaasappel,orange,ORANGE,FOOD,noun,,F,thing,,,,,,,,,,
appel,apple,APPLE,FOOD,noun,,F,thing,,,,,,,,,,
taart,cake,CAKE,FOOD,noun,,F,thing,,,,,,,,,,
brood,bread,BREAD,FOOD,noun,,M,thing,,,,,,,,,,
koffie,coffee,COFFEE,DRINK,noun,,F,thing,,,,,,,,,,
bier,beer,BEER,DRINK,noun,,M,thing,,,,,,,,,,
melk,milk,MILK,DRINK,noun,,F,thing,,,,,,,,,,
water_,water,WATER,DRINK,noun,,M,thing,,,,,,,,,,
fles,bottle,BOTTLE,CONTAINER,noun,,F,container,,,,,,,,,,
kopje,cup,CUP,CONTAINER,noun,,M,container,,,,,,,,,,
